"","n_s","method","system","pc_l","pc_u","FDR_mean","Power_mean"
"1","12","NBZIMM","armpit",0,0.5,0.0833333333333333,0.00833333333333334
"2","12","NBZIMM","oral",0.1,0.4,0.203333333333333,0.0224018779053026
"3","12","NBZIMM","oral",0.1,0.7,0.0391666666666666,0.00888092590360785
"4","12","aldex","armpit",0,0.5,0,0.0194444444444445
"5","12","aldex","oral",0.1,0.4,0.0291666666666667,0.0779353325928669
"6","12","aldex","oral",0.1,0.7,0.0025,0.0988639689642285
"7","12","aldex_lin","armpit",0,0.5,0.196815545565546,0.468137254901961
"8","12","aldex_lin","oral",0.1,0.4,0.109755003561692,0.391316549426138
"9","12","aldex_lin","oral",0.1,0.7,0.0300393442586413,0.41972331248434
"10","12","ancombc2","armpit",0,0.5,0,0
"11","12","ancombc2","oral",0.1,0.4,0,0.000675675675675675
"12","12","ancombc2","oral",0.1,0.7,0,0
"13","12","linda","armpit",0,0.5,0.2,0.0196078431372549
"14","12","linda","oral",0.1,0.4,0.0388888888888888,0.0398808363157678
"15","12","linda","oral",0.1,0.7,0.1425,0.023256206654761
"16","12","lmerseq","armpit",0,0.5,0.140350877192982,0.00584795321637427
"17","12","lmerseq","oral",0.1,0.4,0.0555555555555557,0.0457889396245561
"18","12","lmerseq","oral",0.1,0.7,0,0.0304372596496226
"19","12","maaslin2","armpit",0,0.5,0.0333333333333333,0.00555555555555556
"20","12","maaslin2","oral",0.1,0.4,0.025,0.0129326484018265
"21","12","maaslin2","oral",0.1,0.7,0.00833333333333335,0.0164546942201479
"22","120","NBZIMM","armpit",0,0.5,0.543646389729981,0.400816993464052
"23","120","NBZIMM","oral",0.1,0.4,0.453412107490033,0.438852180320394
"24","120","NBZIMM","oral",0.1,0.7,0.253098494733866,0.342185280029979
"25","120","aldex","armpit",0,0.5,0,0.579411764705882
"26","120","aldex","oral",0.1,0.4,0.0198084506069352,0.560794127573454
"27","120","aldex","oral",0.1,0.7,0.00074626865671642,0.580619749368374
"28","120","aldex_lin","armpit",0,0.5,0.0269675177763413,0.715849673202615
"29","120","aldex_lin","oral",0.1,0.4,0.0563787833557382,0.605929884978554
"30","120","aldex_lin","oral",0.1,0.7,0.00323295677088999,0.625542404144142
"31","120","ancombc2","armpit",0,0.5,0.103472222222222,0.37859477124183
"32","120","ancombc2","oral",0.1,0.4,0.00131578947368421,0.35985488044479
"33","120","ancombc2","oral",0.1,0.7,0.251627835248183,0.13271262813597
"34","120","linda","armpit",0,0.5,0.113987213766626,0.634967320261438
"35","120","linda","oral",0.1,0.4,0.0547449222481924,0.602957955205833
"36","120","linda","oral",0.1,0.7,0.206605612105847,0.412740984028673
"37","120","lmerseq","armpit",0,0.5,0.464499239038881,0.470424836601307
"38","120","lmerseq","oral",0.1,0.4,0.359175495341031,0.542077773026741
"39","120","lmerseq","oral",0.1,0.7,0.180162462381764,0.494369413023193
"40","120","maaslin2","armpit",0,0.5,0.529123914058377,0.417483660130719
"41","120","maaslin2","oral",0.1,0.4,0.412688484954885,0.514089967258403
"42","120","maaslin2","oral",0.1,0.7,0.196191929045289,0.461281873612038
"43","160","NBZIMM","armpit",0,0.5,0.579313896420506,0.398202614379085
"44","160","NBZIMM","oral",0.1,0.4,0.510249348521388,0.45945805051627
"45","160","NBZIMM","oral",0.1,0.7,0.275511015388667,0.37472514307364
"46","160","aldex","armpit",0,0.5,0.00333333333333333,0.654575163398693
"47","160","aldex","oral",0.1,0.4,0.0198013095682469,0.558110350076103
"48","160","aldex","oral",0.1,0.7,0.00072463768115942,0.572475291387315
"49","160","aldex_lin","armpit",0,0.5,0.0419346041385515,0.763235294117647
"50","160","aldex_lin","oral",0.1,0.4,0.0399937528225714,0.611902577234769
"51","160","aldex_lin","oral",0.1,0.7,0.00261107377794844,0.622412933363082
"52","160","ancombc2","armpit",0,0.5,0.0992866161616162,0.428921568627451
"53","160","ancombc2","oral",0.1,0.4,0.0149241476219369,0.405027932041631
"54","160","ancombc2","oral",0.1,0.7,0.260836884830794,0.183420324952177
"55","160","linda","armpit",0,0.5,0.109052945463549,0.732352941176471
"56","160","linda","oral",0.1,0.4,0.0657547231090739,0.625555946357316
"57","160","linda","oral",0.1,0.7,0.143724973750612,0.507872695979099
"58","160","lmerseq","armpit",0,0.5,0.535522036443089,0.498366013071895
"59","160","lmerseq","oral",0.1,0.4,0.420253581419107,0.545206456456457
"60","160","lmerseq","oral",0.1,0.7,0.221779513449628,0.491037249225802
"61","160","maaslin2","armpit",0,0.5,0.560927429011963,0.437254901960784
"62","160","maaslin2","oral",0.1,0.4,0.464949671787133,0.52268371796454
"63","160","maaslin2","oral",0.1,0.7,0.240883654367335,0.456556814110001
"64","20","NBZIMM","armpit",0,0.5,0.198333333333333,0.0555555555555555
"65","20","NBZIMM","oral",0.1,0.4,0.275164141414141,0.0494046135176272
"66","20","NBZIMM","oral",0.1,0.7,0.0521367521367521,0.0394135981395941
"67","20","aldex","armpit",0,0.5,0.0090909090909091,0.183333333333333
"68","20","aldex","oral",0.1,0.4,0.013974171539961,0.242179439713686
"69","20","aldex","oral",0.1,0.7,0,0.266202741762012
"70","20","aldex_lin","armpit",0,0.5,0.171194136745607,0.625
"71","20","aldex_lin","oral",0.1,0.4,0.0720623856639458,0.47805242914147
"72","20","aldex_lin","oral",0.1,0.7,0.0212753921330589,0.489575836728824
"73","20","ancombc2","armpit",0,0.5,0,0.0166666666666667
"74","20","ancombc2","oral",0.1,0.4,0,0.00137937595129376
"75","20","ancombc2","oral",0.1,0.7,0,0.00042016806722689
"76","20","linda","armpit",0,0.5,0.174722222222222,0.144444444444444
"77","20","linda","oral",0.1,0.4,0.0659576023391813,0.183063690402732
"78","20","linda","oral",0.1,0.7,0.110833896777102,0.0876182097018206
"79","20","lmerseq","armpit",0,0.5,0.294117647058824,0.0457516339869281
"80","20","lmerseq","oral",0.1,0.4,0.0785957687918472,0.16215971679442
"81","20","lmerseq","oral",0.1,0.7,0.0423840048840049,0.10709067839544
"82","20","maaslin2","armpit",0,0.5,0.139285714285714,0.0472222222222222
"83","20","maaslin2","oral",0.1,0.4,0.0978059440559441,0.0940439857665886
"84","20","maaslin2","oral",0.1,0.7,0.0296454451345756,0.0676483081811564
"85","200","NBZIMM","armpit",0,0.5,0.59285181539692,0.459640522875817
"86","200","NBZIMM","oral",0.1,0.4,0.507125840483284,0.501853357071136
"87","200","NBZIMM","oral",0.1,0.7,0.264351956505,0.406419557947103
"88","200","aldex","armpit",0,0.5,0,0.668627450980392
