"","n_s","method","system","pc_l","pc_u","lfc_l","lfc_u","FDR_mean","Power_mean"
"1","12","NBZIMM","armpit",0,0.5,0,3,0.4575,0.0586601307189543
"2","12","NBZIMM","gut",0,0.2,0,3,0.441574682627314,0.127177177177177
"3","12","NBZIMM","gut",0.1,0.7,-2,3,0.270248556454439,0.110342070424608
"4","12","NBZIMM","gut",0.2,0.2,-2.5,2.5,0.104114745548569,0.148667417417417
"5","12","NBZIMM","oral",0,0.2,0,3,0.538582251082251,0.0745402298850575
"6","12","NBZIMM","oral",0.1,0.4,-2,3,0.295360015801192,0.133081955242914
"7","12","NBZIMM","oral",0.1,0.7,-2,3,0.210243005145869,0.112877551925924
"8","12","NBZIMM","oral",0.2,0.2,-2.5,2.5,0.130660173160173,0.113448275862069
"9","12","aldex","armpit",0,0.5,0,3,0,0.240522875816993
"10","12","aldex","gut",0,0.2,0,3,0,0.287312312312312
"11","12","aldex","gut",0.1,0.7,-2,3,0.00265456989247311,0.321455047771432
"12","12","aldex","gut",0.2,0.2,-2.5,2.5,0,0.022728978978979
"13","12","aldex","oral",0,0.2,0,3,0.0125,0.247183908045977
"14","12","aldex","oral",0.1,0.4,-2,3,0.00595238095238095,0.269381042000905
"15","12","aldex","oral",0.1,0.7,-2,3,0.00282945736434108,0.318417334414172
"16","12","aldex","oral",0.2,0.2,-2.5,2.5,0,0.0474712643678161
"17","12","aldex_lin","armpit",0,0.5,0,3,0.0362210012210012,0.582679738562092
"18","12","aldex_lin","gut",0,0.2,0,3,0.031060879115799,0.543956456456457
"19","12","aldex_lin","gut",0.1,0.7,-2,3,0.00816173710051886,0.472242264838467
"20","12","aldex_lin","gut",0.2,0.2,-2.5,2.5,0.0331168831168831,0.162518768768769
"21","12","aldex_lin","oral",0,0.2,0,3,0.0371347402597403,0.47316091954023
"22","12","aldex_lin","oral",0.1,0.4,-2,3,0.0340515594666652,0.453108529762639
"23","12","aldex_lin","oral",0.1,0.7,-2,3,0.00825262406478377,0.465051149286761
"24","12","aldex_lin","oral",0.2,0.2,-2.5,2.5,0.0268953962703963,0.204166666666667
"25","12","ancombc2","armpit",0,0.5,0,3,0,0.0251633986928105
"26","12","ancombc2","gut",0,0.2,0,3,0,0.0262762762762763
"27","12","ancombc2","gut",0.1,0.7,-2,3,0,0.0055055634283315
"28","12","ancombc2","gut",0.2,0.2,-2.5,2.5,0,0.00412912912912913
"29","12","ancombc2","oral",0,0.2,0,3,0,0.0136781609195403
"30","12","ancombc2","oral",0.1,0.4,-2,3,0,0.00409208523592086
"31","12","ancombc2","oral",0.1,0.7,-2,3,0.1,0.00381392610094435
"32","12","ancombc2","oral",0.2,0.2,-2.5,2.5,0,0.00422413793103448
"33","12","linda","armpit",0,0.5,0,3,0.124702380952381,0.262254901960784
"34","12","linda","gut",0,0.2,0,3,0.0603540903540904,0.260960960960961
"35","12","linda","gut",0.1,0.7,-2,3,0.0221256835782692,0.273482379829721
"36","12","linda","gut",0.2,0.2,-2.5,2.5,0.0567305369751022,0.164189189189189
"37","12","linda","oral",0,0.2,0,3,0.0476755189255189,0.234080459770115
"38","12","linda","oral",0.1,0.4,-2,3,0.0514930934250417,0.282184571557859
"39","12","linda","oral",0.1,0.7,-2,3,0.081812395830938,0.239371704000877
"40","12","linda","oral",0.2,0.2,-2.5,2.5,0.0396565934065934,0.167931034482759
"41","12","lmerseq","armpit",0,0.5,0,3,0.175925925925926,0.12563543936093
"42","12","maaslin2","armpit",0,0.5,0,3,0.23,0.0782679738562091
"43","12","maaslin2","gut",0,0.2,0,3,0.313961940836941,0.133933933933934
"44","12","maaslin2","gut",0.1,0.7,-2,3,0.0669819087494399,0.17867756628077
"45","12","maaslin2","gut",0.2,0.2,-2.5,2.5,0.0373710010319917,0.132995495495495
"46","12","maaslin2","oral",0,0.2,0,3,0.273174603174603,0.10867816091954
"47","12","maaslin2","oral",0.1,0.4,-2,3,0.194146756925221,0.186362108684027
"48","12","maaslin2","oral",0.1,0.7,-2,3,0.0926168716841755,0.172141238540704
"49","12","maaslin2","oral",0.2,0.2,-2.5,2.5,0.0395902014652015,0.163505747126437
"50","12","maaslin3","armpit",0,0.5,0,3,0.161309523809524,0.128758169934641
"51","12","maaslin3","gut",0,0.2,0,3,0.12281746031746,0.142267267267267
"52","12","maaslin3","gut",0.1,0.7,-2,3,0.0578356207437023,0.187909407484868
"53","12","maaslin3","gut",0.2,0.2,-2.5,2.5,0.0605492424242424,0.106625375375375
"54","12","maaslin3","oral",0,0.2,0,3,0.117619047619048,0.145747126436782
"55","12","maaslin3","oral",0.1,0.4,-2,3,0.118945950849976,0.186593607305936
"56","12","maaslin3","oral",0.1,0.7,-2,3,0.0969616427212474,0.187238439307147
"57","12","maaslin3","oral",0.2,0.2,-2.5,2.5,0.0846622127872128,0.14632183908046
"58","120","NBZIMM","armpit",0,0.5,0,3,0.617526314332101,0.557352941176471
"59","120","NBZIMM","gut",0,0.2,0,3,0.824948889478507,0.631081081081081
"60","120","NBZIMM","gut",0.1,0.7,-2,3,0.319673627250907,0.43883879514046
"61","120","NBZIMM","gut",0.2,0.2,-2.5,2.5,0.15439772391247,0.65015015015015
"62","120","NBZIMM","oral",0,0.2,0,3,0.823558350729092,0.566609195402299
"63","120","NBZIMM","oral",0.1,0.4,-2,3,0.578346065564084,0.580081077170167
"64","120","NBZIMM","oral",0.1,0.7,-2,3,0.298045570182818,0.479139469039725
"65","120","NBZIMM","oral",0.2,0.2,-2.5,2.5,0.106269354975186,0.648879310344828
"66","120","aldex","armpit",0,0.5,0,3,0.0069047619047619,0.735947712418301
"67","120","aldex","gut",0,0.2,0,3,0.012604971042471,0.794894894894895
"68","120","aldex","gut",0.1,0.7,-2,3,0,0.684464227546714
"69","120","aldex","gut",0.2,0.2,-2.5,2.5,0,0.524099099099099
"70","120","aldex","oral",0,0.2,0,3,0.00208333333333334,0.734712643678161
"71","120","aldex","oral",0.1,0.4,-2,3,0.0059922889067309,0.642567755726013
"72","120","aldex","oral",0.1,0.7,-2,3,0.000632911392405065,0.667197045814684
"73","120","aldex","oral",0.2,0.2,-2.5,2.5,0,0.500977011494253
"74","120","aldex_lin","armpit",0,0.5,0,3,0,0.763725490196078
"75","120","aldex_lin","gut",0,0.2,0,3,0.0341503226886291,0.811336336336336
"76","120","aldex_lin","gut",0.1,0.7,-2,3,0.00137709137709138,0.700017655709377
"77","120","aldex_lin","gut",0.2,0.2,-2.5,2.5,0,0.552796546546546
