"","method","genus","est","padj","sparsity","log2_mean"
"323","ALDEx2-MEM","g__Abiotrophia",-7.20284329765243,0.0474413624630819,31,6
"302","ALDEx2-MEM","g__Absconditabacteria_(SR1)_[G-1]",-7.19450631040726,0.01576141991329,19,7
"8","ALDEx2-MEM","g__Actinomyces",-3.57738180736689,0.0884302780305024,2,9
"113","ALDEx2-MEM","g__Aggregatibacter",-7.32440177004913,0.0720242554979206,28,8
"57","ALDEx2-MEM","g__Alloprevotella",-10.502534116662,0.00103221938561155,9,9
"365","ALDEx2-MEM","g__Anaeroglobus",-2.03106860132363,0.545581770028116,54,4
"239","ALDEx2-MEM","g__Anoxybacillus",-0.408570212355485,0.766211966420808,44,4
"106","ALDEx2-MEM","g__Atopobium",-1.85689588190943,0.451517239822754,10,7
"267","ALDEx2-MEM","g__Bacteroidales_[G-2]",-4.51039009120403,0.131856035514133,22,6
"232","ALDEx2-MEM","g__Bacteroidetes_[G-3]",-4.23344755220522,0.28378210159675,63,3
"169","ALDEx2-MEM","g__Bacteroidetes_[G-5]",-2.49702356461894,0.483338952097391,60,4
"204","ALDEx2-MEM","g__Bergeyella",-2.8945021022972,0.302972769117392,15,8
"218","ALDEx2-MEM","g__Campylobacter",-4.52104922820697,0.0543949419358458,4,8
"64","ALDEx2-MEM","g__Capnocytophaga",-3.86107042774627,0.0767208046635219,2,9
"85","ALDEx2-MEM","g__Cardiobacterium",-1.83047815500051,0.52815274330259,23,5
"183","ALDEx2-MEM","g__Catonella",-7.17743824668131,0.0207840326624171,16,5
"281","ALDEx2-MEM","g__Corynebacterium",-3.83118280695626,0.194725121719019,16,6
"260","ALDEx2-MEM","g__Dialister",-4.08419487010251,0.223263146816514,28,5
"393","ALDEx2-MEM","g__Escherichia",-4.34355292966473,0.156652051849884,20,3
"379","ALDEx2-MEM","g__Filifactor",-2.32871330627161,0.510095549521265,69,2
"295","ALDEx2-MEM","g__Fretibacterium",-2.14257180281779,0.511366011657424,54,4
"29","ALDEx2-MEM","g__Fusobacterium",-5.92697074620353,0.0167778695685627,2,10
"330","ALDEx2-MEM","g__Gemella",-5.99223320307554,0.00384739773957737,0,9
"316","ALDEx2-MEM","g__Gracilibacteria_(GN02)_[G-1]",-6.61658913138983,0.101582524310834,53,3
"274","ALDEx2-MEM","g__Granulicatella",-4.14337374376089,0.0551426911422827,1,9
"1","ALDEx2-MEM","g__Haemophilus",-4.71393495545782,0.0149694055757461,0,12
"148","ALDEx2-MEM","g__Kingella",-7.1200825300628,0.0646850913310596,28,5
"127","ALDEx2-MEM","g__Lachnoanaerobaculum",-2.74803633409622,0.332357524824619,16,5
"197","ALDEx2-MEM","g__Lachnospiraceae_[G-2]",-2.92847800236653,0.391528689370024,53,4
"22","ALDEx2-MEM","g__Lachnospiraceae_[G-3]",-3.61636006755054,0.340226620776366,67,3
"309","ALDEx2-MEM","g__Lautropia",-8.01343811821097,0.0269224979351422,17,7
"78","ALDEx2-MEM","g__Leptotrichia",-5.05226534144336,0.037852752077615,2,10
"288","ALDEx2-MEM","g__Megasphaera",-1.83911543123973,0.478629405742791,14,8
"372","ALDEx2-MEM","g__Mogibacterium",-1.74705408775996,0.566809130454436,64,3
"71","ALDEx2-MEM","g__Mycoplasma",-6.0223676776447,0.0858144722625627,41,5
"246","ALDEx2-MEM","g__Neisseria",-4.72168384287288,0.0353185260885693,1,12
"253","ALDEx2-MEM","g__Oribacterium",-5.89549719357671,0.0285125132817101,9,8
"358","ALDEx2-MEM","g__Ottowia",-3.40475108425056,0.372278225358123,69,3
"211","ALDEx2-MEM","g__Parvimonas",-5.80739939627936,0.116042093722166,35,5
"120","ALDEx2-MEM","g__Peptidiphaga",-0.995530437078855,0.662991134234483,69,1
"351","ALDEx2-MEM","g__Peptostreptococcaceae_[XI][G-1]",-4.2809191331899,0.269551653337142,43,3
