"","est","padj"
"g__Bacteroides",-0.188010276913671,0.96591363183107
"g__Parabacteroides",-2.72883536392478,0.460723847261459
"g__Faecalibacterium",-6.88293838482105,1.54409145734037e-08
"g__Alistipes",-5.28832407140971,0.0252857734708746
"g__Ruminococcus",-4.63357014831551,0.0300399805490003
"g__Dorea",-2.50770938039981,0.170825633127349
"g__Oscillibacter",-4.41810622948068,0.0702275731444994
"g__Flavonifractor",2.40396905786782,0.432787719051293
"g__Odoribacter",-1.05805799478739,0.943158620119646
"g__Blautia",2.62158012216454,0.0336493847492666
"g__Ruminococcaceae_unclassified",-4.2761663094658,0.0533120312584604
"g__Eubacterium",-4.25661815346387,0.000567663213937837
"g__Coprococcus",-2.007609913135,0.647020087109015
"g__Fusicatenibacter",-3.00961496177043,0.172135743218451
"g__Phascolarctobacterium",-0.611049876151876,0.971560816652478
"g__Lachnoclostridium",7.97670534657532,0.000107219299010437
"g__Escherichia",10.0406275781704,1.10533905513292e-06
"g__Clostridium",2.14343277596909,0.528379434747921
"g__Gemmiger",-0.621212543634881,0.891227990176453
"g__Firmicutes_unclassified",-3.96613907312425,0.0498153301126418
"g__Bilophila",0.429993089269591,0.975302692901239
"g__Roseburia",-2.32102749359433,0.27137793992795
"g__Lachnospira",-1.16065732941096,0.90967972654272
"g__Lachnospiraceae_unclassified",-4.16820674158425,0.065579212601326
"g__Parasutterella",-0.222844591503862,0.982762024128617
"g__Barnesiella",-0.305676332736172,0.985551230020478
"g__Anaerostipes",-1.10981051992336,0.840586980848497
"g__Proteobacteria_unclassified",1.6498521356149,0.789063875305403
"g__Collinsella",0.451723844424766,0.975130277024719
"g__Agathobaculum",-0.788863926764336,0.877634518423126
"g__Bifidobacterium",1.90117140795403,0.691590117387518
"g__Turicimonas",1.57664103991963,0.69053726411389
"g__Dialister",2.41925993977983,0.578143927274198
"g__Erysipelatoclostridium",7.51229893011118,7.91715759401498e-06
"g__Ruthenibacterium",-1.22435383503791,0.80183602372565
"g__Intestinimonas",-0.0192704195831929,0.979149479188746
"g__Eisenbergiella",1.19728309128143,0.869842108178712
"g__Veillonella",4.10492834704441,0.143824359336995
"g__Haemophilus",4.0618419024474,0.0508436805346007
"g__Akkermansia",-1.0807154053587,0.904138370392721
"g__Lawsonibacter",-0.336306591943196,0.957797756015641
"g__Streptococcus",5.29119209154022,0.0013269366225718
"g__Prevotella",2.02980846930824,0.858802605680017
"44",4.40398784294207,0.000301743196627072
