"","est","padj"
"g__Bacteroides",0.665884833880243,0.927018190036759
"g__Parabacteroides",-0.857757668502864,0.988430274433443
"g__Faecalibacterium",-0.235145885066954,0.984236110899396
"g__Alistipes",-6.12254138117129,0.0409191723449778
"g__Ruminococcus",-1.64609904047348,0.895047722371008
"g__Dorea",1.14938361682215,0.839166953838496
"g__Oscillibacter",-3.85323772823945,0.365649753705371
"g__Flavonifractor",2.75902202688008,0.530565008331446
"g__Odoribacter",-4.18150688459251,0.38648209147508
"g__Blautia",2.73891571423201,0.147504917085412
"g__Ruminococcaceae_unclassified",-3.90269623031133,0.286370051949948
"g__Eubacterium",1.12302324158944,0.776077984905309
"g__Coprococcus",0.016674381074363,0.992154771390562
"g__Fusicatenibacter",-1.42967884449437,0.902903282540451
"g__Phascolarctobacterium",0.528685584532392,0.98042639921936
"g__Lachnoclostridium",4.82913984370993,0.19145440974679
"g__Escherichia",3.82981249959674,0.41201331338975
"g__Clostridium",1.31433895007545,0.873680701755938
"g__Gemmiger",-0.845292295982769,0.927896768780029
"g__Firmicutes_unclassified",-7.222033369695,0.00162049163739579
"g__Bilophila",-1.42234589681332,0.902890095994002
"g__Roseburia",1.2455638872397,0.844820987898359
"g__Lachnospira",-0.937724164829456,0.984857714366172
"g__Lachnospiraceae_unclassified",-2.83056939957174,0.611754585784828
"g__Parasutterella",2.68233999340919,0.66472125698223
"g__Barnesiella",-2.21367118928201,0.894067595288333
"g__Anaerostipes",-0.373766594329289,0.98851022241968
"g__Proteobacteria_unclassified",4.64595500882469,0.180668149896892
"g__Collinsella",1.55966006425429,0.822190408275215
"g__Agathobaculum",0.101099786832152,0.981347099482036
"g__Bifidobacterium",1.29507817870774,0.890142868279311
"g__Turicimonas",3.84713305301148,0.199652390137261
"g__Dialister",0.994545575287837,0.94533766750145
"g__Erysipelatoclostridium",4.27463557892903,0.160209285912161
"g__Ruthenibacterium",-2.6652605392438,0.533218454445512
"g__Intestinimonas",0.275546779780837,0.972282996254254
"g__Eisenbergiella",0.955589600712224,0.931891803801322
"g__Veillonella",3.2211303167968,0.59019539845804
"g__Haemophilus",2.11928919142527,0.715824882757565
"g__Akkermansia",-5.09938240140818,0.128929384928587
"g__Lawsonibacter",-3.35357162231266,0.312209978173751
"g__Streptococcus",0.92567230067558,0.906177307238186
"g__Prevotella",3.29736713160135,0.696638688911282
"44",1.45170566944015,0.663134299966036
