"","Estimate","Std. Error","df","t value","Pr(>|t|)","padj"
"g__Bacteroides",-0.085826735811903,0.0716567972684691,101.843548752783,-1.19774730498134,0.233795568274499,0.2838619049591
"g__Parabacteroides",-0.0667330631482268,0.0269243494632295,123.794961727709,-2.47853948112522,0.0145386775928567,0.0345050222606767
"g__Faecalibacterium",-0.167183497508386,0.0274904762294209,135.810085586916,-6.08150605006482,1.13698939091218e-08,2.50137666000679e-07
"g__Alistipes",-0.0910452027078683,0.0230785094979968,119.480753456329,-3.94502091722045,0.000135094592397566,0.000849166009356131
"g__Ruminococcus",-0.0610299956071499,0.012139101333298,105.27905933609,-5.02755467076811,2.04867927510903e-06,3.00472960349325e-05
"g__Dorea",-0.0150441919090799,0.00723849304799009,115.242330297673,-2.0783596543285,0.0398962813751203,0.0763233208915344
"g__Oscillibacter",-0.0312303334636351,0.00685504951006545,132.30576487423,-4.55581442814947,1.17217616282705e-05,0.00010315150232878
"g__Flavonifractor",0.0155936929654211,0.0127575859760438,132.042475137456,1.22230749568946,0.223768765013802,0.28130930458878
"g__Odoribacter",-0.0196383166153471,0.0108524905662375,118.934605929482,-1.80956772046802,0.0728883119160836,0.128283428972307
"g__Blautia",0.026808638133321,0.0116372256838806,145.664738249144,2.30369667664478,0.0226542985142483,0.0498394567313463
"g__Ruminococcaceae_unclassified",-0.0323437088481203,0.0150945437691671,122.749845280195,-2.1427417312332,0.0341078290846506,0.0691133089607623
"g__Eubacterium",-0.0505403009296061,0.0119663087970635,139.885190976346,-4.22354978353966,4.30945784423262e-05,0.000316026908577059
"g__Coprococcus",-0.0222245191410136,0.0089980267670673,121.688569027827,-2.46993254369449,0.0148998959762013,0.0345050222606767
"g__Fusicatenibacter",-0.0163119589198388,0.0087837234869625,132.797491668721,-1.85706653266696,0.0655170709838599,0.120114630137076
"g__Phascolarctobacterium",-0.020832095460529,0.00765677486069731,128.115360781546,-2.72074023848623,0.00741918724579619,0.0204027649259395
"g__Lachnoclostridium",0.0611740025539744,0.0131640816333143,137.315015990655,4.64703913709874,7.80823113459554e-06,8.5890542480551e-05
"g__Escherichia",0.128564263424414,0.0208040539525997,148.840610424817,6.17976975628582,5.85442321917144e-09,2.50137666000679e-07
"g__Clostridium",0.010335140202376,0.0075752374217282,126.728887447996,1.36433218221405,0.174880970055862,0.256492089415264
"g__Gemmiger",-0.00711102843658377,0.0024651279647966,154.90686255974,-2.88464880449747,0.00447714923423893,0.0140710404504652
"g__Firmicutes_unclassified",-0.0207452283219928,0.00615751982942588,129.943294934095,-3.36908834996428,0.000992982745380461,0.00397193098152184
"g__Bilophila",-0.00511970269646036,0.0040369190067658,132.323865932782,-1.26822031551285,0.206946059401973,0.27837024639055
"g__Roseburia",-0.0331694003534864,0.0313264341461712,149.196248350414,-1.05883102426263,0.291387982763701,0.337396611621128
"g__Lachnospira",-0.0176744030067545,0.0114872320372308,125.274539882252,-1.53861286596029,0.126420890621649,0.191811006460433
"g__Lachnospiraceae_unclassified",-0.0734886242165446,0.0196542415975828,146.813801324132,-3.73907198869392,0.000264080767837191,0.00129106153164849
"g__Parasutterella",-0.00726599944594826,0.00867899967210468,121.245877343476,-0.837193192817143,0.404131136715888,0.455942820910233
"g__Barnesiella",-0.026062696995152,0.015137193260883,111.813382603032,-1.72176549152625,0.0878773546994576,0.143207540991709
"g__Anaerostipes",-0.00974474154084711,0.00782750066938098,149.402847303107,-1.24493653241907,0.215104281301789,0.27837024639055
"g__Proteobacteria_unclassified",-0.00410018146071574,0.0061046516251457,121.869976802234,-0.671648721743049,0.503078541604515,0.553386395764967
"g__Collinsella",-0.00629002334885339,0.00530753717896963,102.941282711653,-1.1851115002598,0.23870205644288,0.2838619049591
"g__Agathobaculum",-0.0076435342948354,0.00274015894230322,160.074807668657,-2.78944924574728,0.00592087819313182,0.01736790936652
"g__Bifidobacterium",0.016329401333593,0.0102320692008279,144.469491110211,1.59590411412305,0.112695400940827,0.177092772907014
"g__Turicimonas",-0.00292685671129085,0.0023363931607016,133.511895972853,-1.25272439609948,0.212495745419799,0.27837024639055
"g__Dialister",-0.00184352660743414,0.00554203154133068,134.684331673421,-0.332644553479299,0.739919798212064,0.757127235379786
"g__Erysipelatoclostridium",0.0155810433339902,0.00515371510846416,134.482769473464,3.02326438424988,0.00299538069849462,0.0101382115949049
"g__Ruthenibacterium",-0.00981035698809069,0.0055648830872374,171.179937550915,-1.76290441942795,0.0797010493876989,0.134878698963798
"g__Intestinimonas",-0.00910179318459725,0.00360547371995962,141.034958953112,-2.52443753346764,0.012695719163939,0.0328595084243126
"g__Eisenbergiella",-0.00507562573031112,0.00897400598043379,166.306279649148,-0.565591971007999,0.572433472253949,0.599692209027947
"g__Veillonella",0.0431322244999557,0.0124363063943588,129.321036086795,3.46825038980389,0.000711976814652891,0.00313269798447272
"g__Haemophilus",0.00909599517609202,0.00427191510641944,184.858509786386,2.12925466670051,0.0345566544803812,0.0691133089607623
"g__Akkermansia",-0.00951163976360487,0.0146443966819611,160.088997246158,-0.649507109795877,0.516941469147109,0.554766454694459
"g__Lawsonibacter",-0.00484275275847015,0.00370882875242359,123.264839432098,-1.30573641484676,0.194073884251543,0.275459706679609
"g__Streptococcus",0.0110072859232772,0.00363398538934937,170.903224355028,3.02898463916167,0.0028346429859853,0.0101382115949049
"g__Prevotella",-0.0188869450883905,0.0664030827278523,93.8795245263804,-0.284428739036064,0.776708275761006,0.776708275761006
"44",0.09520111059154,0.0248170036579733,115.594784059698,3.83612429218277,0.000204142438817383,0.00112278341349561
