"","Estimate","Std. Error","df","t value","Pr(>|t|)","padj"
"g__Bacteroides",-0.0937761160596345,0.0816703908598675,120.20739437321,-1.14822661030897,0.253154890505785,0.482662702330935
"g__Parabacteroides",-0.0410719822837185,0.0310187724456841,148.905933859299,-1.32410082815618,0.18749847936487,0.392853956764489
"g__Faecalibacterium",-0.0650730288574414,0.0326147631651758,191.673012559036,-1.9952016369974,0.0474373736724495,0.139149629439185
"g__Alistipes",-0.0965632222428364,0.0264672440043837,137.533166904079,-3.64840488215708,0.000373615027129539,0.00621066109626577
"g__Ruminococcus",-0.0316321856576901,0.0142882821980423,151.510779361562,-2.21385504704156,0.0283328183024369,0.122674236567508
"g__Dorea",-0.00205277726481964,0.00871414191600618,188.764096217842,-0.235568491379408,0.814022902475289,0.838896685680808
"g__Oscillibacter",-0.0288884178051369,0.00803038448871292,166.492214212614,-3.59738912199546,0.000423454165654484,0.00621066109626577
"g__Flavonifractor",0.00375705081276606,0.0149476893461076,166.303256891374,0.251346594498526,0.801856462783576,0.838896685680808
"g__Odoribacter",-0.0376496299197486,0.0124285430887261,136.098970628134,-3.02928747568977,0.00293399788784286,0.0322739767662714
"g__Blautia",0.00793985699740912,0.0141404685942284,214.127652294887,0.561498860133239,0.575044696784835,0.744175489956845
"g__Ruminococcaceae_unclassified",-0.0363836265565028,0.0175390802874551,155.775030537653,-2.07443183794114,0.0396843541005925,0.139149629439185
"g__Eubacterium",-0.00319071340750864,0.0144058082405745,211.769074597906,-0.221487982779187,0.824925918434712,0.838896685680808
"g__Coprococcus",-0.00502362453611639,0.0103424136957061,141.376433452442,-0.485730380153141,0.627910291008471,0.746704129847912
"g__Fusicatenibacter",-0.00429919660415801,0.0106248336986072,212.552282380625,-0.404636601956563,0.686151547029659,0.794491264981711
"g__Phascolarctobacterium",-0.0121616814064072,0.00886963990763109,153.735942552213,-1.3711584160191,0.172323772880172,0.379112300336377
"g__Lachnoclostridium",0.0126507604599869,0.0158089736809726,192.357202148814,0.800226549507962,0.424566727402027,0.622697866856306
"g__Escherichia",0.0400665569226635,0.025516069210281,227.490790781482,1.57024801086995,0.117747244309136,0.272677828926419
"g__Clostridium",0.00219843307227491,0.00915355249625786,203.865282750176,0.240172662272235,0.810437735477725,0.838896685680808
"g__Gemmiger",-0.00519042262490439,0.0030052061811606,230.058377689054,-1.7271436008094,0.0854840593571737,0.221252859512685
"g__Firmicutes_unclassified",-0.0330107399286048,0.00743672879771114,207.418414177236,-4.43887908602566,1.46840348822568e-05,0.0006460975348193
"g__Bilophila",-0.00947851246587247,0.00471676550650306,164.645758402321,-2.00953650394626,0.0461136787698162,0.139149629439185
"g__Roseburia",0.0277839297253855,0.0376252897705881,216.71382006772,0.738437627850624,0.461047492920142,0.645536302914056
"g__Lachnospira",-0.021766453025678,0.0133943027053901,161.918037331674,-1.6250530919328,0.106096162827257,0.259346175799962
"g__Lachnospiraceae_unclassified",-0.0536865951484579,0.0239310148846195,217.641814257726,-2.24338981891496,0.0258788632670664,0.122674236567508
"g__Parasutterella",0.00505877771357157,0.00997824612141932,145.847987391812,0.50698065090942,0.61293405653996,0.746704129847912
"g__Barnesiella",-0.0372356004531473,0.0170253069893744,120.484984479607,-2.1870736590175,0.0306685591418771,0.122674236567508
"g__Anaerostipes",0.00643166040498,0.00952320480710457,228.605697919519,0.675367225136417,0.500125031272137,0.666833375029516
"g__Proteobacteria_unclassified",0.0128067802919417,0.00699097000415496,142.30166785609,1.83190319574111,0.069056779021251,0.18990614230844
"g__Collinsella",-0.00515734783667492,0.00629109147452146,159.021843274523,-0.819785860301327,0.41356521234262,0.622697866856306
"g__Agathobaculum",-0.00801048438498988,0.00337872613078449,261.869049736031,-2.37085933423375,0.0184711123861268,0.122674236567508
"g__Bifidobacterium",-0.0121634549184283,0.0122472960667164,206.643329552687,-0.993154313586326,0.321796272275815,0.524408740005032
"g__Turicimonas",0.00223007504106679,0.00272103806875683,167.93761133257,0.819567747571298,0.413624177363661,0.622697866856306
"g__Dialister",-0.00732425619353335,0.00652587352161573,173.236820802143,-1.12234111943376,0.263270564907783,0.482662702330935
"g__Erysipelatoclostridium",0.0138809430735574,0.00625224855954701,219.271053247143,2.22015214867963,0.0274320832891603,0.122674236567508
"g__Ruthenibacterium",-0.0159920316021931,0.00701251283342685,289.293201536461,-2.28049944179256,0.0233054101420964,0.122674236567508
"g__Intestinimonas",-0.00450307016063306,0.00427341918424206,189.889646519356,-1.0537393984746,0.293341199590124,0.508208773235492
"g__Eisenbergiella",0.00286521751743243,0.0111147463344576,262.669832918103,0.257785236946864,0.796774505311467,0.838896685680808
"g__Veillonella",0.0151487961688555,0.0145791117733488,163.358080701467,1.03907538431443,0.300305184184609,0.508208773235492
"g__Haemophilus",0.00110710644190081,0.00544129652158482,333.502090314651,0.20346372183708,0.838896685680808,0.838896685680808
"g__Akkermansia",-0.047368464925617,0.0180103686289826,246.243957226847,-2.63006637462105,0.00907468478384072,0.0798572260977983
"g__Lawsonibacter",-0.0086480456427056,0.00422741885037345,139.999915830753,-2.04570352472683,0.0426578564911512,0.139149629439185
"g__Streptococcus",-0.00232934388406028,0.00448400204684783,273.124129058211,-0.519478773587484,0.603847631003903,0.746704129847912
"g__Prevotella",0.084973450926833,0.0745900096169065,102.302432531804,1.13920686380463,0.257277361313008,0.482662702330935
"44",0.021245263706783,0.029303343844616,163.548981338497,0.725011582959206,0.469480947573859,0.645536302914056
