"","est","padj"
"g__Bacteroides",-5.1701860365183,6.34219579344976e-05
"g__Parabacteroides",-7.64012656184865,0.000123563944209641
"g__Faecalibacterium",-11.8904739282629,1.48199508017276e-20
"g__Alistipes",-10.2345447559624,6.527198693183e-07
"g__Ruminococcus",-9.54843849326751,3.41242603770171e-07
"g__Dorea",-7.63632076831584,8.53948139090721e-08
"g__Oscillibacter",-9.41429904369559,7.09938354531049e-06
"g__Flavonifractor",-2.5771960048703,0.0812047429596615
"g__Odoribacter",-5.98947557884025,0.00846326699772335
"g__Blautia",-2.41376667535844,0.0138875570695086
"g__Ruminococcaceae_unclassified",-9.25014059353318,1.07151713581451e-06
"g__Eubacterium",-9.32727878607601,3.12288765122153e-14
"g__Coprococcus",-6.98523120129028,0.000273815655626166
"g__Fusicatenibacter",-8.01596915816417,2.46810432834065e-06
"g__Phascolarctobacterium",-5.58915403955655,0.00858432565075267
"g__Lachnoclostridium",3.09174487578033,0.720266783576239
"g__Escherichia",5.12277670855266,0.131800609356042
"g__Clostridium",-2.92218461702716,0.078219732343976
"g__Gemmiger",-5.67862716437423,0.000125348925139914
"g__Firmicutes_unclassified",-9.01708001896989,1.62773461115944e-07
"g__Bilophila",-4.60069135267795,0.00552223544103707
"g__Roseburia",-7.34081939431351,2.50142662500244e-07
"g__Lachnospira",-6.21451490762777,0.00151987301960342
"g__Lachnospiraceae_unclassified",-9.21935407498295,4.68138318593407e-07
"g__Parasutterella",-5.07078940103607,0.0135257628534257
"g__Barnesiella",-5.19851901781307,0.0233167227427819
"g__Anaerostipes",-6.14814340629145,9.36313625945661e-05
"g__Proteobacteria_unclassified",-3.21427615832072,0.0936413941358248
"g__Collinsella",-4.56135475259313,0.00883169036911955
"g__Agathobaculum",-5.91047338870325,7.57674179739583e-05
"g__Bifidobacterium",-3.00471037769852,0.0902077674545617
"g__Turicimonas",-3.3871047106945,0.0346172957204627
"g__Dialister",-2.55178700189197,0.155594764757219
"g__Erysipelatoclostridium",2.69723419088543,0.580096529955084
"g__Ruthenibacterium",-6.35491305592049,0.000102312330560378
"g__Intestinimonas",-5.04966893489488,0.00113517950468209
"g__Eisenbergiella",-3.88734608961008,0.0238041544355215
"g__Veillonella",-0.726881292676676,0.72041734997377
"g__Haemophilus",-0.972794150378402,0.556198104594276
"g__Akkermansia",-6.10207685454476,0.00118005039676102
"g__Lawsonibacter",-5.28101359207754,0.000870390563122029
"g__Streptococcus",0.169333471397757,0.929955579178588
"g__Prevotella",-2.86573272114766,0.238535555052696
"44",-0.614243084387525,0.554950295210318
