"","est","padj"
"g__Bacteroides",-4.77251396393786,0.00101352112985444
"g__Parabacteroides",-6.22177141642765,0.00525734974816221
"g__Faecalibacterium",-5.62811165354047,5.30786816634373e-05
"g__Alistipes",-11.5289030926308,2.56603371767433e-06
"g__Ruminococcus",-6.976281346067,0.000999059745143289
"g__Dorea",-4.3655779959377,0.0074823508982507
"g__Oscillibacter",-9.28268278554259,0.000109275092817532
"g__Flavonifractor",-2.6392034868912,0.122949360717928
"g__Odoribacter",-9.55291562700582,0.000324580897509004
"g__Blautia",-2.71634687016229,0.0172074740269233
"g__Ruminococcaceae_unclassified",-9.2389531158641,3.48239187719518e-05
"g__Eubacterium",-4.32654616921893,0.00162216571346357
"g__Coprococcus",-5.42626332488633,0.013084415239005
"g__Fusicatenibacter",-6.85026160663606,0.000535167860033281
"g__Phascolarctobacterium",-4.9237033945388,0.0393286097016698
"g__Lachnoclostridium",-0.545951736572366,0.766220631631727
"g__Escherichia",-1.42516890940206,0.525642796083235
"g__Clostridium",-4.11419182586604,0.0344506599552906
"g__Gemmiger",-6.32016902024052,0.000429281615617763
"g__Firmicutes_unclassified",-12.6174369919741,1.87208981921414e-09
"g__Bilophila",-6.91750681005676,0.000606061208771689
"g__Roseburia",-4.15618429587167,0.00920910874021203
"g__Lachnospira",-6.40298598248502,0.0054274274850542
"g__Lachnospiraceae_unclassified",-8.29110419032179,0.000113757956580726
"g__Parasutterella",-2.6585259214238,0.257191534196611
"g__Barnesiella",-7.59026302911305,0.00375076717726693
"g__Anaerostipes",-5.80289330592508,0.00189081207020496
"g__Proteobacteria_unclassified",-0.69151327514948,0.726486562541564
"g__Collinsella",-3.91192853557487,0.0523878559507674
"g__Agathobaculum",-5.36506525119992,0.00294263678220701
"g__Bifidobacterium",-4.04616317519578,0.0477494820532356
"g__Turicimonas",-1.54634812354391,0.411098852230132
"g__Dialister",-4.38675898520125,0.033138735223396
"g__Erysipelatoclostridium",-0.992187694733896,0.561972818583908
"g__Ruthenibacterium",-8.1969808315045,4.92778640874184e-05
"g__Intestinimonas",-5.10854813561845,0.00506121708592726
"g__Eisenbergiella",-4.50190055837235,0.0281773963255473
"g__Veillonella",-2.11638972757714,0.339469702455063
"g__Haemophilus",-3.25255782686068,0.0820605479021554
"g__Akkermansia",-10.5104148928205,7.26911495030177e-06
"g__Lawsonibacter",-8.72670862610868,9.33156094314722e-06
"g__Streptococcus",-4.5160384724617,0.0133728899040647
"g__Prevotella",-2.06173717588013,0.459156811609842
"44",-3.97871459452483,0.00126749807476894
