"","est","padj"
"g__Bacteroides",-7.19690077124693,4.10191567497733e-08
"g__Parabacteroides",-9.632479692577,1.13142999957855e-06
"g__Faecalibacterium",-13.9134771576251,2.04702821070335e-25
"g__Alistipes",-12.2598827530848,3.26387480047814e-09
"g__Ruminococcus",-11.5595665606801,9.50741646706428e-10
"g__Dorea",-9.64451856140967,1.12251067193181e-11
"g__Oscillibacter",-11.4101747206204,1.7947232553974e-05
"g__Flavonifractor",-4.56758402571358,0.00163058467691681
"g__Odoribacter",-8.00901318634194,0.00033751004987098
"g__Blautia",-4.39284602187198,5.54678939724923e-06
"g__Ruminococcaceae_unclassified",-11.2379873601137,2.66315699635647e-09
"g__Eubacterium",-11.3269796807128,4.97334841027209e-20
"g__Coprococcus",-8.98929013487614,2.41426379591393e-06
"g__Fusicatenibacter",-10.0254956664499,5.50042703445363e-09
"g__Phascolarctobacterium",-7.57934991609495,0.000278236234231216
"g__Lachnoclostridium",1.09847020666868,0.997463326585575
"g__Escherichia",3.13996120235437,0.941766053647295
"g__Clostridium",-4.93533568187977,0.00231116400598732
"g__Gemmiger",-7.71500221120817,1.60623196021922e-07
"g__Firmicutes_unclassified",-11.0105327272391,1.68309918952448e-10
"g__Bilophila",-6.63252529111979,5.55322997930334e-05
"g__Roseburia",-9.32954587571837,2.51609718649498e-10
"g__Lachnospira",-8.22132428917258,2.15959006755768e-05
"g__Lachnospiraceae_unclassified",-11.2313868129414,9.19441036706423e-10
"g__Parasutterella",-7.07315439760851,0.000455027022029996
"g__Barnesiella",-7.20138404606738,0.00141734837060528
"g__Anaerostipes",-8.15124385465977,2.01601328764878e-07
"g__Proteobacteria_unclassified",-5.21334997900536,0.00510420041939381
"g__Collinsella",-6.58606408570686,0.000130773263766913
"g__Agathobaculum",-7.901438666541,1.39723748765781e-07
"g__Bifidobacterium",-5.00790659781825,0.00383662544916505
"g__Turicimonas",-5.40430034476506,0.000666575546226702
"g__Dialister",-4.56393860248959,0.00872574287520055
"g__Erysipelatoclostridium",0.713015222025168,0.975003784970166
"g__Ruthenibacterium",-8.36189559275404,2.92114615564722e-07
"g__Intestinimonas",-7.01992786486429,4.16185470000321e-06
"g__Eisenbergiella",-5.88195607763536,0.000497664283471698
"g__Veillonella",-2.71688567066833,0.132721799515457
"g__Haemophilus",-2.95165419757439,0.0506821526964717
"g__Akkermansia",-8.10800673828742,1.17767285158922e-05
"g__Lawsonibacter",-7.29351203276171,3.48548189528712e-06
"g__Streptococcus",-1.80692143615869,0.215560822071263
"g__Prevotella",-4.90057795726158,0.034381334553178
"44",-2.59683754303741,0.0112992907734789
