"","est","padj"
"g__Bacteroides",-4.21744115411171,0.00137805165315929
"g__Parabacteroides",-6.67265286926353,0.00101657463260558
"g__Faecalibacterium",-10.9305867409018,4.41802055529017e-18
"g__Alistipes",-9.27561896469524,8.56869525586903e-06
"g__Ruminococcus",-8.58555411721088,6.36110137359253e-06
"g__Dorea",-6.67137083634675,3.86953142303268e-06
"g__Oscillibacter",-8.40648229247152,5.56134164818446e-05
"g__Flavonifractor",-1.59389855706725,0.319009961436118
"g__Odoribacter",-5.0237365798661,0.0325287080739862
"g__Blautia",-1.42853688888481,0.174730583600559
"g__Ruminococcaceae_unclassified",-8.26919563966862,1.55559745331529e-05
"g__Eubacterium",-8.37549014099064,7.13048850956242e-12
"g__Coprococcus",-6.03105509496706,0.00211643214497151
"g__Fusicatenibacter",-7.05587133776182,4.35962247442657e-05
"g__Phascolarctobacterium",-4.61218128631367,0.0355643150128111
"g__Lachnoclostridium",4.07842970700078,0.235137549568065
"g__Escherichia",6.10385760539964,0.022424433379848
"g__Clostridium",-1.96210298574824,0.273510175718907
"g__Gemmiger",-4.69175032189867,0.00187343447193849
"g__Firmicutes_unclassified",-8.03835894113822,3.90876516929166e-06
"g__Bilophila",-3.64468247676437,0.0335769659107672
"g__Roseburia",-6.36394129337612,7.91210943626311e-06
"g__Lachnospira",-5.26779632724143,0.00885200498286423
"g__Lachnospiraceae_unclassified",-8.24668828009771,8.60481777190553e-06
"g__Parasutterella",-4.11107169528186,0.0545038523596386
"g__Barnesiella",-4.21455011814479,0.0798055555441881
"g__Anaerostipes",-5.1862003827197,0.0013266209894592
"g__Proteobacteria_unclassified",-2.25973620784834,0.274529460717346
"g__Collinsella",-3.59161631514834,0.0474208669115522
"g__Agathobaculum",-4.93243102267813,0.00126160057609677
"g__Bifidobacterium",-2.0296352116118,0.29194143187035
"g__Turicimonas",-2.40445531645537,0.16259356910364
"g__Dialister",-1.6039090583284,0.41368811045186
"g__Erysipelatoclostridium",3.65859196422455,0.154283772368476
"g__Ruthenibacterium",-5.39287733221715,0.00120353986019291
"g__Intestinimonas",-4.04616089352867,0.010808208788854
"g__Eisenbergiella",-2.90346339878944,0.107788437484539
"g__Veillonella",0.242942575967709,0.959573580159783
"g__Haemophilus",-0.00528184468624222,0.905724419452198
"g__Akkermansia",-5.14202854136757,0.00725574636413704
"g__Lawsonibacter",-4.31964557519124,0.00800015967933737
"g__Streptococcus",1.15139384132621,0.985164472660122
"g__Prevotella",-1.91645293975275,0.472530184859245
"44",0.371526485093215,0.951532876723769
