"","est","padj"
"Agathobacter",-1.81007079794241,0.358988860799183
"Akkermansia",-6.16944803060334,1.27170962772147e-05
"Alistipes",-6.08824510931672,6.39026423670459e-05
"Anaerobutyricum",-3.23231069926089,0.0456014266069639
"Anaerostipes",-6.27319396546095,9.0280614664793e-06
"Bacteroides",0.114033481157377,0.961142495991317
"Barnesiella",-2.21212947042431,0.159851035536985
"Bifidobacterium",0.366658280437051,0.968163932925279
"Blautia",-4.45768679161887,0.00600976368496198
"Coprococcus",-10.4466727798329,3.04792857619418e-13
"Dorea",-7.22997933682503,1.61518871636876e-05
"Dysosmobacter",-5.60747795927969,5.00286077493767e-06
"Faecalibacterium",-10.0222467725556,6.5486014839906e-08
"Fusicatenibacter",-9.5713604125679,2.09145181895298e-10
"Gemmiger",-10.3672287740027,8.13368128405045e-12
"Hungatella",-6.80440893080227,6.77696457551438e-07
"Mediterraneibacter",-6.76758915956288,5.39769917291583e-07
"Monoglobus",-6.34977932899865,2.44279344713938e-07
"Neglecta",-6.51123335551413,5.6100134024705e-07
"Oscillibacter",-5.30510769455728,7.03431921138548e-05
"Parabacteroides",-3.02743276082006,0.0305810027774686
"Parasutterella",-1.96159114061332,0.209318149519227
"Phascolarctobacterium",-4.69393446984695,0.00204252595474753
"Phocaeicola",-0.127007560121178,0.909781767164681
"Prevotella",-6.50852274017149,6.66489743791286e-05
"Roseburia",-5.13400265135931,0.00180779568488545
"Ruminococcus",-9.54795398917839,3.2235702068673e-09
"Sutterella",-3.99609745923846,0.013041404451305
"unclassified",-6.86122246029418,8.34972620482342e-06
"other",-1.00789966218252,0.221341276699786
